Participant,Item,Condition,R1,R2,R3,R4,R5,R6
27,8,2,893,1496,521,854,1012,1318
28,8,1,1103,1479,1207,1027,1539,2211
29,8,2,656,828,760,788,1466,1420
30,8,1,5015,2463,2163,3569,322,3661
31,8,2,1130,1831,1350,1134,1166,1698
32,8,1,1133,2641,1758,1020,1909,2245
33,8,2,1556,1917,996,1441,1582,1456
34,8,1,1851,2305,2091,877,1246,2010
36,8,2,1653,2316,1342,1112,1336,1739
37,8,1,2810,1864,1842,964,1406,2438
38,8,2,1105,1210,925,538,1204,177
39,8,1,1551,1490,1018,532,1036,1785
40,8,2,404,988,337,516,786,530
41,8,1,1847,2126,1474,1375,1757,178
1,9,1,1578,1477,1192,1300,1026,1279
2,9,2,2525,2193,1906,3208,1880,424
3,9,1,1868,2290,1776,1497,948,726
4,9,2,1545,2611,1598,2042,1204,835
5,9,1,1574,2222,1350,1284,1069,1083
6,9,2,1019,1108,1079,905,745,425
7,9,1,1201,2180,1138,1561,1048,2087
8,9,2,2120,2615,1720,1582,2070,1993
9,9,1,1542,2256,1765,1171,944,811
10,9,2,2361,1765,1497,785,1445,1157
11,9,1,9012,761,1552,1107,910,966
12,9,2,1914,2439,1190,2191,955,1307
13,9,1,1577,334,2633,2715,1223,1529
14,9,2,1664,2330,1728,1453,1038,1107
15,9,1,4887,2222,980,1191,1203,825
16,9,2,1892,1251,1581,2452,1014,788
17,9,1,1498,1389,88,2666,1790,1170
18,9,2,1702,3522,422,565,1118,1710
19,9,1,1038,2541,1479,1235,1027,876
20,9,2,1688,2127,1881,339,1371,287
21,9,1,564,1025,969,1916,1957,1390
22,9,2,1977,3412,403,912,1140,2146
23,9,1,862,1620,925,1352,1310,1481
24,9,2,1271,1949,1791,1074,628,551
25,9,1,1616,2263,2438,1602,1247,1458
26,9,2,967,1856,1107,168,833,1052
27,9,1,599,1460,912,882,739,838
28,9,2,1271,1919,1450,1741,1258,1201
29,9,1,1014,1198,1050,1227,1282,1472
30,9,2,3190,3578,1058,4458,2371,2160
31,9,1,2068,1682,1530,2056,1636,1394
32,9,2,1101,1837,1006,1472,1180,1945
33,9,1,1110,1997,993,1368,1260,1304
34,9,2,1528,1314,1421,1585,1306,2116
36,9,1,1849,1764,1846,967,800,1237
37,9,2,1509,2187,2308,2446,883,901
38,9,1,1488,1280,1148,599,585,788
39,9,2,791,1906,925,926,764,498
40,9,1,2115,1549,706,539,532,823
41,9,2,1853,2286,1388,1688,1499,796
1,10,2,2004,690,1834,1985,1601,1316
2,10,1,1026,2109,1996,305,1307,1381
3,10,2,1343,1522,1171,1226,1665,1164
4,10,1,5173,1816,2080,1437,1201,1030
5,10,2,1252,448,1579,294,1155,1571
6,10,1,848,1152,585,758,871,783
7,10,2,1040,1134,1064,1077,1358,1742
8,10,1,2516,2372,1499,2335,1886,1974
9,10,2,1124,2680,1180,1315,1072,210
10,10,1,1592,1648,2355,1442,1353,1448
11,10,2,781,2261,2425,1138,940,1022
12,10,1,1567,2518,1427,2566,2770,1726
13,10,2,1517,283,1470,1441,858,1503
14,10,1,1897,244,1058,1299,1005,650
15,10,2,2011,554,1149,1182,1337,738
16,10,1,1358,1839,1272,1422,1122,1570
17,10,2,1773,0,1420,2392,3205,1562
18,10,1,1865,2462,2052,1316,1430,1534
19,10,2,1648,133,1475,1165,1738,1437
20,10,1,1433,3065,1932,2515,1048,1138
21,10,2,806,1329,903,928,132,559
22,10,1,1123,123,1406,956,946,2047
23,10,2,1526,1153,1359,1221,1325,2124
24,10,1,810,1407,1177,754,792,1084
25,10,2,1007,1650,1374,1763,1149,1508
26,10,1,906,1196,702,1352,1214,983
27,10,2,744,1231,699,739,809,719
28,10,1,1937,1079,1391,1468,1206,1952
29,10,2,1539,1321,753,1154,1479,1055
30,10,1,2540,5823,4134,581,1480,1962
31,10,2,1377,2075,1620,1934,1534,1378
32,10,1,1249,1255,1267,1730,954,1363
33,10,2,1450,1775,1635,1556,1024,1046
34,10,1,1064,3877,1074,1308,133,1114
36,10,2,1887,2070,2325,1959,1503,2437
37,10,1,1352,1179,784,951,1178,954
38,10,2,1068,1392,764,1040,808,1330
39,10,1,872,2355,1820,936,629,224
40,10,2,649,937,1014,336,401,135
41,10,1,1416,1557,1607,987,1174,1890
1,11,1,1427,287,3229,105,1120,1384
2,11,2,1431,5263,642,1719,853,1242
3,11,1,3417,4624,1433,1145,107,922
4,11,2,2975,2654,1366,1856,712,610
5,11,1,1698,238,975,1059,713,855
6,11,2,1768,2073,1025,1049,497,698
7,11,1,3949,471,1958,1394,1012,1791
8,11,2,1307,355,1902,3486,950,1350
9,11,1,2347,1589,1893,1151,881,1784
10,11,2,2354,3141,1746,1450,760,1276
11,11,1,1445,2434,1168,1282,1888,595
12,11,2,1327,1267,1745,1766,927,806
13,11,1,1375,2166,2782,1713,736,1435
14,11,2,1247,2009,1397,895,705,764
15,11,1,5060,2239,1435,1258,1107,1189
16,11,2,2031,1417,1814,2501,1103,2116
17,11,1,3559,3910,1848,1571,1172,1355
18,11,2,2110,1958,1721,1213,974,226
19,11,1,2132,1927,1808,790,666,833
20,11,2,1509,2173,1821,2165,1017,983
21,11,1,865,1930,1687,1046,152,685
22,11,2,1639,1474,981,1152,1020,903
23,11,1,1401,3369,2619,1048,786,806
24,11,2,1521,1885,1162,1676,587,557
25,11,1,1292,2555,1835,1553,925,1737
26,11,2,2303,2352,1827,1177,799,1460
27,11,1,744,1264,364,797,666,1711
28,11,2,1155,2616,1069,2145,832,1422
29,11,1,1370,1229,1459,753,802,1460
30,11,2,3645,186,2720,1059,961,1530
31,11,1,2148,1656,3049,1719,751,1049
32,11,2,1383,0,362,1681,1277,2308
33,11,1,1623,1740,1613,1579,857,1404
34,11,2,1449,2147,1703,1565,813,1094
35,11,1,2200,2097,2618,1974,768,144
37,11,2,2646,2247,1804,1789,436,0
38,11,1,1672,1358,1143,2039,743,916
39,11,2,1813,1051,154,820,748,742
40,11,1,2605,956,784,815,467,732
41,11,2,2259,2083,1583,1485,899,950
1,12,2,1941,1092,1514,1629,1722,566
2,12,1,989,2609,2871,2605,414,979
3,12,2,2489,1039,762,1344,1134,529
4,12,1,1053,2703,1437,1711,900,365
5,12,2,1944,3996,1495,155,1025,229
6,12,1,757,1465,1014,1100,877,160
7,12,2,1903,2980,3917,904,1386,725
8,12,1,2428,3956,2183,194,1567,1318
9,12,2,1772,2425,1629,755,1108,0
10,12,1,1396,3412,2632,1936,833,935
11,12,2,315,2359,1748,1863,1100,462
12,12,1,851,2050,1257,1503,878,1044
